iter	Passed	Remaining
570	28717	21575
571	28765	21523
572	28812	21471
573	28861	21419
574	28910	21368
575	28959	21317
576	29008	21265
577	29055	21213
578	29106	21163
579	29156	21113
580	29203	21060
581	29252	21009
582	29299	20957
583	29348	20905
584	29395	20853
585	29443	20801
586	29491	20749
587	29539	20697
588	29588	20646
589	29637	20595
590	29687	20545
591	29737	20494
592	29785	20443
593	29833	20391
594	29882	20340
595	29931	20288
596	29979	20237
597	30028	20186
598	30076	20134
599	30124	20083
600	30175	20033
601	30224	19982
602	30272	19930
603	30320	19879
604	30368	19827
605	30417	19776
606	30466	19725
607	30513	19673
608	30562	19622
609	30611	19570
610	30660	19520
611	30707	19468
612	30757	19417
613	30805	19366
614	30854	19315
615	30904	19264
616	30951	19212
617	30998	19160
618	31046	19109
619	31094	19058
620	31143	19006
621	31193	18956
622	31242	18905
623	31290	18854
624	31338	18803
625	31386	18751
626	31434	18700
627	31483	18649
628	31531	18598
629	31580	18547
630	31628	18495
631	31677	18445
632	31726	18394
633	31776	18343
634	31825	18293
635	31873	18241
636	31921	18190
637	31970	18139
638	32018	18088
639	32065	18036
640	32113	17985
641	32161	17934
642	32210	17883
643	32260	17833
644	32308	17782
645	32356	17731
646	32405	17680
647	32454	17629
648	32503	17578
649	32551	17527
650	32599	17476
651	32650	17426
652	32697	17375
653	32746	17324
654	32797	17274
655	32844	17223
656	32893	17172
657	32941	17121
658	32990	17070
659	33038	17019
660	33086	16968
661	33133	16917
662	33181	16866
663	33232	16816
664	33283	16767
665	33333	16716
666	33381	16665
667	33429	16614
668	33477	16563
669	33525	16512
670	33574	16461
671	33623	16411
672	33671	16360
673	33719	16309
674	33768	16258
675	33817	16208
676	33866	16157
677	33914	16106
678	33963	16056
679	34011	16005
680	34060	15954
681	34109	15904
682	34158	15854
683	34206	15803
684	34255	15752
685	34303	15701
686	34351	15650
687	34400	15600
688	34448	15549
689	34497	15498
690	34545	15447
691	34592	15396
692	34641	15346
693	34690	15295
694	34738	15244
695	34787	15194
696	34835	15143
697	34884	15093
698	34933	15043
699	34983	14992
700	35032	14942
701	35082	14892
702	35132	14842
703	35180	14791
704	35227	14740
705	35275	14689
706	35324	14639
707	35372	14588
708	35421	14538
709	35469	14487
710	35517	14436
711	35565	14385
712	35613	14335
713	35662	14284
714	35711	14234
715	35759	14184
716	35809	14133
717	35857	14083
718	35905	14032
719	35953	13981
720	36002	13931
721	36049	13880
722	36097	13829
723	36145	13779
724	36193	13728
725	36242	13678
726	36290	13627
727	36338	13577
728	36385	13526
729	36433	13475
730	36482	13425
731	36531	13374
732	36577	13323
733	36627	13273
734	36674	13222
735	36724	13172
736	36773	13122
737	36823	13072
738	36872	13022
739	36920	12972
740	36970	12922
741	37018	12871
742	37070	12822
743	37122	12773
744	37179	12725
745	37227	12675
746	37277	12625
747	37326	12575
748	37374	12524
749	37423	12474
750	37471	12423
751	37520	12373
752	37569	12323
753	37618	12273
754	37669	12223
755	37717	12173
756	37764	12122
757	37813	12072
758	37862	12022
759	37910	11971
760	37958	11921
761	38006	11870
762	38053	11820
763	38102	11769
764	38151	11719
765	38199	11669
766	38248	11619
767	38296	11568
768	38344	11518
769	38391	11467
770	38438	11416
771	38488	11366
772	38536	11316
773	38585	11266
774	38634	11216
775	38683	11166
776	38733	11116
777	38781	11066
778	38831	11016
779	38880	10966
780	38929	10916
781	38978	10866
782	39025	10815
783	39074	10765
784	39125	10715
785	39174	10665
786	39222	10615
787	39270	10565
788	39319	10515
789	39367	10464
790	39414	10414
791	39462	10364
792	39510	10313
793	39559	10263
794	39608	10213
795	39657	10163
796	39707	10113
797	39755	10063
798	39804	10013
799	39855	9963
800	39903	9913
801	39952	9863
802	39999	9813
803	40048	9763
804	40096	9712
805	40144	9662
806	40192	9612
807	40241	9562
808	40289	9512
809	40338	9462
810	40384	9411
811	40432	9361
812	40480	9311
813	40528	9260
814	40576	9210
815	40624	9160
816	40672	9110
817	40721	9060
818	40769	9010
819	40817	8959
820	40865	8909
821	40913	8859
822	40963	8809
823	41012	8759
824	41060	8709
825	41108	8659
826	41158	8609
827	41206	8559
828	41256	8510
829	41304	8460
830	41352	8409
831	41400	8359
832	41449	8309
833	41495	8259
834	41543	8209
835	41592	8159
836	41640	8109
837	41689	8059
838	41738	8009
839	41787	7959
840	41834	7909
841	41884	7859
842	41933	7809
843	41981	7759
844	42029	7709
845	42077	7659
846	42126	7609
847	42174	7559
848	42222	7509
849	42270	7459
850	42320	7409
851	42368	7359
852	42417	7309
853	42464	7259
854	42512	7209
855	42559	7159
856	42609	7109
857	42657	7059
858	42705	7009
859	42754	6960
860	42803	6910
861	42853	6860
862	42902	6810
863	42949	6760
864	42997	6710
865	43045	6660
866	43094	6610
867	43142	6560
868	43191	6511
869	43240	6461
870	43287	6411
871	43336	6361
872	43384	6311
873	43433	6261
874	43482	6211
875	43528	6161
876	43577	6111
877	43625	6061
878	43674	6012
879	43723	5962
880	43770	5912
881	43818	5862
882	43867	5812
883	43919	5763
884	43967	5713
885	44014	5663
886	44062	5613
887	44113	5563
888	44161	5513
889	44209	5464
890	44257	5414
891	44305	5364
892	44354	5314
893	44403	5264
894	44450	5214
895	44498	5164
896	44546	5115
897	44594	5065
898	44644	5015
899	44691	4965
900	44739	4915
901	44788	4866
902	44836	4816
903	44885	4766
904	44935	4717
905	44984	4667
906	45033	4617
907	45082	4567
908	45129	4517
909	45177	4468
910	45226	4418
911	45274	4368
912	45322	4318
913	45371	4269
914	45418	4219
915	45466	4169
916	45513	4119
917	45561	4069
918	45610	4020
919	45660	3970
920	45708	3920
921	45757	3871
922	45805	3821
923	45854	3771
924	45905	3722
925	45954	3672
926	46002	3622
927	46050	3572
928	46098	3523
929	46146	3473
930	46194	3423
931	46242	3373
932	46290	3324
933	46338	3274
934	46387	3224
935	46434	3175
936	46483	3125
937	46533	3075
938	46581	3026
939	46628	2976
940	46677	2926
941	46724	2876
942	46772	2827
943	46820	2777
944	46869	2727
945	46919	2678
946	46968	2628
947	47017	2579
948	47067	2529
949	47118	2479
950	47170	2430
951	47229	2381
952	47286	2332
953	47337	2282
954	47384	2232
955	47433	2183
956	47481	2133
957	47529	2083
958	47579	2034
959	47628	1984
960	47677	1934
961	47727	1885
962	47775	1835
963	47821	1785
964	47869	1736
965	47917	1686
966	47966	1636
967	48014	1587
968	48062	1537
969	48110	1487
970	48158	1438
971	48206	1388
972	48255	1339
973	48302	1289
974	48350	1239
975	48398	1190
976	48445	1140
977	48493	1090
978	48542	1041
979	48590	991
980	48639	942
981	48686	892
982	48733	842
983	48783	793
984	48832	743
985	48880	694
986	48930	644
987	48979	594
988	49029	545
989	49077	495
990	49127	446
991	49175	396
992	49224	346
993	49272	297
994	49321	247
995	49371	198
996	49419	148
997	49467	99
998	49514	49
999	49563	0
